Genes	sup35_mut_1	sup35_mut_2	sup35_mut_3	sup35_mut_4	sup35_wt_1	sup35_wt_2	sup35_wt_3	sup35_wt_4
BOL2		462.059	814.26		3819.95		795.824	353.448
BOL3		1022.07	947.206	3823.99			961.956	1117.72
BOR1								
BOS1		302.997	63.0453					142.818
BPL1		1060.34	900.388			1857.39	1119.21	848.284
BPT1		481.237				1363.4		937.981
BRE1		1233.41	1575.87	981.197		1090.03	2099.36	352.862
BRE2		708.843					432.601	
BRE5		767.132	1386.68			1216	477.207	791.04
BRF1								
BRL1								
BRN1		1261.99					581.509	
BRO1		690.103	592.153			841.674	1260.19	618.103
BRR2		678.286	743.951	1421.42		1031.82	419.109	567.65
BRR6			337.239					
BRX1		2696.72	2039.84			1130.68	1625.82	1635.54
BST1								
BTS1		808.769	736.636	3106.98		867.892	2018.96	453.134
BUD14			1411.27	4231.22				973.968
BUD16		229.417						500.987
BUD17		814.327	271.857			2124.77	1024.89	675.915
BUD2								
BUD20								
BUD23								2066.56
BUD27		230.405	228.839				369.97	224.881
BUD3		178.767						
BUD32		518.825		3380.07		1152.79	710.418	
BUD4								
BUD6		688.566						1709.96
BUD7		297.76	581.643	3523.88		310.458	392.224	
BUL1		95.6448						
BUL2			210.977					134.351
BUR2		150.999	621.168			265.312	1110.16	240.068
BUR6		842.58	1131.78	7307.11			2564.96	1755.83
BZZ1		339.295				1006		308.816
CAB1		1313.93	1247.3	6358.04		2140.09	1259.28	1036.86
CAB2		1020.49	2111.17	14463.7		2911.15	1879.47	1624.36
CAB3		372.028	950.647	1216.34		1270.78	621.271	296.288
CAB4		2782.57	2642.77			5533.33	2728.96	2567.18
CAB5		1444.52						
CAC2								
CAF16		3601.39	2730.87	7015.41		3719.99	4378.55	3036.81
CAF20		525.266	1791.25				236.702	
CAF4			909.078			302.801		246.524
CAF40		587.768	744.529			521.034	629.316	710.523
CAJ1		3800.02	1290.9				2771.01	1244.67
CAK1			473.785					327.644
CAM1		6185.96	5736.39	12798.6	3105.24	9444.72	5280.06	8554.07
CAN1		501.91					386.775	626.952
CAP1		3992.73	4052.93	7296.75		2858.7	4629.32	2142.16
CAP2		1546.62	1168.19	6712.31		2671.12	1799.78	1584.71
CAR1		2437.42	2338.49		16654.6	2876.39	1787.78	3852.27
CAR2		1391.95	1216.16	1669.52	21172.1	5485.27	2017.02	1915.89
CAT2		955.516				396.546	742.761	
CAT5								
CBC2		1852.77	2267.73					1815.14
CBF1		522.135	584.802			1345.74	709.482	704.677
CBF2				626.99				
CBF5		4052.28	1761.98	22286.1	19307.4	3831.16	2891.85	2468.23
CBK1								
CBP1								
CBP2		2203.44		10815.9		4425.65	4768.59	314.089
CBP3		891.044	883.024				874.458	978.676
CBP4							671.116	1914.02
CBP6							1580.81	2426.38
CBR1		3831.01	2459.46	1205.5		4277.57	3457.99	1838
CBS1								
CBS2		546.281	943.716				696.037	
CBT1								
CCA1		1757.58	1245.16	4848.65		3211.81	1834.01	876.597
CCC1		669.987	350.866	734.62		1203.74	641.969	488.481
CCE1		271.959					266.921	
CCH1		617.168	600.125	1031.03		791.133		
CCM1								
CCP1		3477.19	5503.76	3513.47		8491.65	3521.97	3498.69
CCR4		799.306	370.166	1131.36		1026.23	852.18	718.052
CCS1		1884.14	2440.58			2287.03	1447.44	1838.52
CCT2		7218.76	9363.43	20428.9		13718.1	5713.7	5919.71
CCT3		2568.53	4276.35	6829.63		2046.53	3661.3	3144.23
CCT4		4296.69	5263.64	16120.7		6269.72	4325.79	4163.83
CCT5		3644.69	5371.26	66926.1		6373.96	5147.15	3495.2
CCT6		2889.13	3594.87	9506.05		4052.52	2414.07	3539.18
CCT7		5208.87	4863.49	28400.3		8788.49	6873.86	3452.34
CCT8		4644.2	4507.71	7600.48		8472.18	4805.38	5646.89
CCW14		361.565	247.564				293.358	77.9027
CDC1		747.277	344.892	1170.85		2000.73	689.942	463.436
CDC10		1599.95	1148.29			1128.1	1678.21	2371.17
CDC11		1849.34	636.891	7079.55		2056.33	1835.33	1424.2
CDC12		1253.61	1174.84	6460.76		2708.45	1437.42	904.57
CDC123		2493.57	1718.47	4438.4		2230.63	1642.65	1134.41
CDC14								
CDC16		143.662	111.82			742.843		176.88
