""	"Prot"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"YOR131C"	"YOR131C"	0.356228265757486	11.5726537299096	0.916700515134881	0.398826523318026	0.887036875244795	-6.5119384139849
"CDC3"	"CDC3"	-0.467210773904129	8.77084434031306	-0.891745461986794	0.41092498554879	0.892280292717642	-6.51273685125138
"YBR085C-A"	"YBR085C-A"	-0.457267840559993	11.5833527453497	-0.834550755776289	0.439715859556985	0.896830820246278	-6.51408833484433
"STT4"	"STT4"	1.52270778999585	10.0190721129565	0.924808002567515	0.39495637076672	0.885054177260116	-6.51721198583679
"RPN3"	"RPN3"	-0.246698056408569	12.8882166005593	-0.871498798593242	0.42094753455062	0.896830820246278	-6.51737965252318
"CBP3"	"CBP3"	0.164852309350217	8.12908914937234	0.832591298927626	0.440728451936113	0.896830820246278	-6.51828024174107
"TOM70"	"TOM70"	0.219118274973793	12.2352878346144	0.899852686898437	0.40696369076934	0.889522287123868	-6.51829714495367
"RPL29"	"RPL29"	0.741915158949773	12.8573014422093	0.866354206836969	0.423523773016825	0.896830820246278	-6.51849109272096
"MTC1"	"MTC1"	-0.560458997604092	11.3107768580727	-0.922927240070146	0.395851526141703	0.885054177260116	-6.51897332927107
"HEF3"	"HEF3"	1.14131461031051	11.1962701693289	0.910184306432795	0.401958538520275	0.887036875244795	-6.52015681279682
"EMG1"	"EMG1"	0.171468708421409	8.05990204161128	0.839640943092132	0.437093513937673	0.896830820246278	-6.52028343654649
"PAF1"	"PAF1"	0.172937149087648	8.14444397422584	0.600006563604708	0.573069823443075	0.928424817011485	-6.52171877720503
"SIP3"	"SIP3"	0.160613506543921	8.02469637538115	0.830296331366045	0.441916636063383	0.896830820246278	-6.52283982090056
"URK1"	"URK1"	-0.427439493521888	7.51471208012146	-0.918295669454809	0.398062728448813	0.887036875244795	-6.52329976623923
"NAB6"	"NAB6"	1.4087457433009	9.1196024474713	0.914907512589535	0.399686421016494	0.887036875244795	-6.52612501588638
"NOP58"	"NOP58"	-0.349934605334317	12.3803327146487	-0.906572072442605	0.403703008115018	0.887432099254606	-6.52738810246085
"TPS1"	"TPS1"	0.3059671814826	13.1256342926672	0.889755741556319	0.4119017276829	0.892280292717642	-6.52812183678589
"YJR096W"	"YJR096W"	0.55456621397832	7.58194039773365	0.908706111627233	0.402671697089617	0.887036875244795	-6.52866335332497
"TRS31"	"TRS31"	-0.383240845141995	7.74749856992484	-0.910565414031928	0.40177483206585	0.887036875244795	-6.53048555846783
"NSG2"	"NSG2"	-0.512706419061923	7.52101818283573	-0.910200326495641	0.401950815001741	0.887036875244795	-6.53082383900561
"TRM9"	"TRM9"	-0.401021475888746	7.56486106516031	-0.909418356804536	0.402327949684747	0.887036875244795	-6.53154805894875
"MAM33"	"MAM33"	-0.36209824176737	12.5657460766922	-0.908877346006673	0.402589034184183	0.887036875244795	-6.53204884960124
"SMD3"	"SMD3"	-1.86824826807427	9.26502356088329	-0.908492295117084	0.402774934966701	0.887036875244795	-6.53240514240916
"TMA17"	"TMA17"	0.665350765872194	10.9711792764675	0.876688420580509	0.418360882394215	0.896830820246278	-6.53469606397367
"BGL2"	"BGL2"	-0.251069768963127	11.5392038647455	-0.876227257292245	0.418590245659324	0.896830820246278	-6.53626922510769
"NVJ2"	"NVJ2"	1.47307803777786	10.23356223195	0.901749981879564	0.406040934801372	0.889423000041102	-6.53862600734334
"DBP9"	"DBP9"	0.317858496504074	7.32000542476476	0.863656322704393	0.424879571254751	0.896830820246278	-6.53982266724261
"TFS1"	"TFS1"	-0.279293295370246	11.4851138846906	-0.850843327331059	0.431363618633155	0.896830820246278	-6.53987279004414
"TIM11"	"TIM11"	1.67505620090467	9.71037011693672	0.900200424646099	0.406794445657324	0.889522287123868	-6.54005092538848
"RPB7"	"RPB7"	-0.682525425499861	8.1893207803047	-0.831136926638591	0.44148115419708	0.896830820246278	-6.54013157466822
"MDY2"	"MDY2"	-0.385190571708801	8.50638757348176	-0.862649544475334	0.425386363133339	0.896830820246278	-6.54037663397638
"YLR460C"	"YLR460C"	-0.146379741366409	8.56243876072806	-0.752032215609088	0.483859262983268	0.908626739576898	-6.54073781219389
"RTS1"	"RTS1"	0.165228529991024	7.98611701451375	0.813560322864412	0.450653482015087	0.898949073794601	-6.54124308738267
