"","Prot","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MCY1","MCY1",-0.156387732101981,7.88871321573478,-0.750686881865437,0.484604304149796,0.908626739576918,-6.65080157816794
"UTP21","UTP21",0.759002228057504,9.11795660891908,0.76066978850538,0.479095084174629,0.908626739576918,-6.65144963002992
"ARL1","ARL1",-1.01750948312221,10.2751216896348,-0.765270740446458,0.476570997437095,0.908626739576918,-6.65213485526222
"GSY2","GSY2",0.208910575612611,8.91714376504988,0.717896350009953,0.503012828465602,0.915557219271278,-6.65221258407877
"MYO2","MYO2",-0.774387110290549,10.0785784892028,-0.770963787614899,0.47346092493847,0.908626739576918,-6.65229432613862
"REX2","REX2",-0.235449904621743,11.5520828012195,-0.758081186246455,0.480519362181182,0.908626739576918,-6.65316571832953
"NSR1","NSR1",-1.03210439346314,9.32755332133087,-0.769774880773467,0.474109215181194,0.908626739576918,-6.65326386004853
"GUA1","GUA1",0.16536079004352,14.0332746364103,0.749868866951737,0.485057713263468,0.908660150638352,-6.65456465832631
"SUB1","SUB1",1.0894032496489,9.25623459172768,0.764641268305886,0.476915766268046,0.908626739576918,-6.65576165057628
"NNT1","NNT1",0.819693178226719,9.14461128537135,0.766132211738246,0.476099448052849,0.908626739576918,-6.65622695401248
"NCA2","NCA2",0.16258752213552,8.43904302968086,0.704271245983204,0.5108020120381,0.918937802847384,-6.65869031400771
"NTF2","NTF2",-0.17304790052034,13.4379340825073,-0.743101373589312,0.488820255161688,0.910899860331308,-6.65898966300088
"MAK16","MAK16",0.249454437817342,8.33597782134242,0.760627489151944,0.479118333639406,0.908626739576918,-6.6606833615913
"ECM14","ECM14",-0.566863152514535,11.8219398195059,-0.758734168630896,0.480159801015636,0.908626739576918,-6.66221016057047
"MSS51","MSS51",0.22471044371154,11.1514739602845,0.652994810292312,0.540843117286884,0.922386776874571,-6.66244901245814
"FCP1","FCP1",0.237716584374942,8.68028412978625,0.65623003364988,0.538914073100957,0.922386776874571,-6.66266087160776
"RER1","RER1",-0.251533100371774,7.74546271473299,-0.757757514609705,0.480697660936948,0.908626739576918,-6.6629965521215
"PMT6","PMT6",-0.412502643384439,7.45581000991603,-0.757516474941056,0.480830471251704,0.908626739576918,-6.66319050945319
"YHR045W","YHR045W",0.717423423526595,8.35906790395073,0.72094306513318,0.501282297698611,0.915406003662243,-6.66319198439238
"COA6","COA6",1.31179525711093,10.187702919433,0.757412191008425,0.480887938656571,0.908626739576918,-6.66327440820391
"RPL6B","RPL6B",0.290782804433203,12.5544356616932,0.698854245541995,0.51392149910471,0.921088154278324,-6.66484267500545
"RSM25","RSM25",-0.224363986197287,7.80594276866416,-0.754690708271522,0.482389377571917,0.908626739576918,-6.66546061542795
"PHO86","PHO86",0.798419106499337,10.8244015368108,0.738343054299471,0.491477976945107,0.911748539754776,-6.66553541617645
"RMD9","RMD9",0.809243692931385,9.0933474823218,0.754316667048855,0.482595994632737,0.908626739576918,-6.66576059301909
"MRI1","MRI1",-0.257015047112022,11.0377076085263,-0.698821332894331,0.513940491879934,0.921088154278324,-6.66663409142823
"PBA1","PBA1",-0.249325175787164,7.52240565446197,-0.753021411436885,0.483311965738386,0.908626739576918,-6.66679845006449
"SPB4","SPB4",-0.326195668694709,7.85543268755447,-0.752602445000229,0.483543715972073,0.908626739576918,-6.66713385000672
"FAT1","FAT1",1.0447469370935,10.2845386438449,0.751854119428829,0.483957845588172,0.908626739576918,-6.66773254098938
"MIA40","MIA40",1.04554769999089,9.35185739136469,0.751683735677609,0.484052172354054,0.908626739576918,-6.66786878779576
"YCR051W","YCR051W",-0.123358491491965,11.8352528314012,-0.593856170817064,0.576886443317817,0.928424817011481,-6.66831083194547
"RPA43","RPA43",0.190488106658243,8.21582395250062,0.680053350195345,0.524848041192055,0.922386776874571,-6.66831593476344
"MKT1","MKT1",-0.363435999835844,11.3291408679695,-0.672263391228161,0.529420464077332,0.922386776874571,-6.66899905901691
"ABZ2","ABZ2",-0.446099951681982,8.47231470919886,-0.708929167835604,0.508129971426307,0.918627983277254,-6.67000480137896
"HNT2","HNT2",0.224261442364633,8.227309906176,0.748385303961949,0.485880784662502,0.909516103316997,-6.67050145422298
"DCP2","DCP2",0.200961860898845,8.31194243394818,0.628813471455139,0.555403029759716,0.923198206700951,-6.67065457068523
"SSA4","SSA4",-0.794428954651734,8.3465996775187,-0.732041691044997,0.495013061870667,0.912705705928484,-6.67136343193727
"ARO2","ARO2",-0.181825140887693,12.9011268746384,-0.733928991584942,0.49395242821603,0.912251175976668,-6.67175927574206
"MSK1","MSK1",0.306964324275095,8.1252591551211,0.74668038109999,0.48682787854355,0.91060274872152,-6.67185858173943
